Search keyword,Search location,Serial,Name,Category,Profile URL,Address,Phone,Email,Website,Rating,Reviews,Year from Business,Email (Website),Phone (Website),Facebook (Web),Twitter (Web),Instagram (Web)
Personal Injury Law,NY,11,"Levene Gouldin & Thompson, LLP","Personal Injury Law Attorneys, Real Estate Attorneys, Family Law Attorneys",https://www.yellowpages.com/ithaca-ny/mip/levene-gouldin-thompson-llp-473538674?lid=1002069200148,"121 E Buffalo St, Ithaca, NY 14850",(607) 269-8359,khiggins@lgtlegal.com,http://www.lgtlegal.com,,,,,,https://www.facebook.com/lgtlegal,,
Personal Injury Law,NY,12,Galbato Law Firm,"Personal Injury Law Attorneys, Family Law Attorneys, Labor & Employment Law Attorneys",https://www.yellowpages.com/auburn-ny/mip/galbato-law-firm-481137262?lid=1001977921652,"71 Genesee St, Auburn, NY 13021",(315) 252-1234,rgalbato@galbatolaw.com,http://www.galbatolaw.com,5,2,2013,rgalbato@galbatolaw.com,1+3152521234;,https://www.facebook.com/galbatolaw,,
Personal Injury Law,NY,13,Law Office of Craig Touma,"Personal Injury Law Attorneys, Automobile Accident Attorneys, Accident & Property Damage Attorneys",https://www.yellowpages.com/niagara-falls-ny/mip/law-office-of-craig-touma-482521613?lid=1002102412490,"800 Main St Ste 4C, Niagara Falls, NY 14301",(716) 501-8949,info@craigtoumalaw.com,https://www.craigtoumalaw.com,3,1,1985,info@craigtoumalaw.com,716-282-3711;,https://www.facebook.com/attorneycraigtouma,,
Personal Injury Law,NY,14,Barton & Smith Law Offices,"Personal Injury Law Attorneys, Attorneys, Family Law Attorneys",https://www.yellowpages.com/elmira-ny/mip/barton-smith-law-offices-483726206?lid=1002153369978,"304 E Church St, Elmira, NY 14901",(607) 271-5374,chrisbarton@bartonsmithbarton.com,https://www.bartonlawny.com,1,1,1991,,607-732-2222; 607-732-222;,https://www.facebook.com/bartonlawllp,,
Personal Injury Law,NY,15,Siben & Siben LLP,"Personal Injury Law Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/bay-shore-ny/mip/siben-siben-llp-483733002?lid=1000364403206,"90 E Main St, Bay Shore, NY 11706",(631) 237-2073,,http://www.citysearch.com/profile/629889800/bay_shore_ny/de_noto_michael_siben_siben.html,,,1934,customerservice@citygrid.com,,,https://twitter.com/share,
Personal Injury Law,NY,16,Couch White,"Personal Injury Law Attorneys, Business Law Attorneys, Attorneys",https://www.yellowpages.com/saratoga-springs-ny/mip/couch-white-500364702?lid=1001978411987,"38 High Rock Ave, Saratoga Springs, NY 12866",(518) 426-4600,kschaffer@couchwhite.com,http://www.couchwhite.com,,,1970,lperkins@couchwhite.com,+15184264600; +18606767740;,,,
Personal Injury Law,NY,17,Finkelstein & Associates PLLC,"Personal Injury Law Attorneys, Wrongful Death Attorneys, Attorneys",https://www.yellowpages.com/newburgh-ny/mip/finkelstein-associates-pllc-502927260?lid=1002152924116,"1229 Route 300, Newburgh, NY 12550",(845) 561-3465,jfinkelstein@thefinkelsteinlawfirm.com,http://www.finkelsteinlawyers.com,,,1990,,8455613465;,,,
Personal Injury Law,NY,18,Neimark Coffinas & Lapp LLP,"Personal Injury Law Attorneys, Nursing Home Litigation Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/new-city-ny/mip/neimark-coffinas-lapp-llp-537921935?lid=1002117641761,"37 Congers Rd, New City, NY 10956",(845) 608-8143,info@ncl.law,https://www.ncl.law,,,,info@neimarklaw.com,+18887257424;,https://www.facebook.com/pages/neimark-neimark-llp/173574866070993,https://twitter.com/neimarklaw,
Personal Injury Law,NY,19,Lemire & Higgins,"Personal Injury Law Attorneys, Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/malta-ny/mip/lemire-higgins-541953234?lid=1002125494927,"2534 State Rte 9, Malta, NY 12020",(518) 348-9100,donna@lemirelawyers.com,http://www.lemirelawyers.com,,,2004,mail@lemirelawyers.com,,https://www.facebook.com/saratogainjurylaw,,
Personal Injury Law,NY,20,Waldman Gary,"Personal Injury Law Attorneys, Attorneys, Real Estate Attorneys",https://www.yellowpages.com/monticello-ny/mip/waldman-gary-543697847?lid=1002101336950,"504 Broadway, Monticello, NY 12701",(855) 853-3408,garywaldmanlaw@yahoo.com,http://waldmanattorney.com,,,1978,garywaldmanlaw@yahoo.com,8457947500;,,https://twitter.com/garywaldman2,
Personal Injury Law,NY,21,"Horigan, Horigan & Lombardo, PC","Personal Injury Law Attorneys, Transportation Law Attorneys, Attorneys",https://www.yellowpages.com/amsterdam-ny/mip/horigan-horigan-lombardo-pc-564775746?lid=1002108020903,"125 Guy Park Avenue, Amsterdam, NY 12010",(518) 770-1218,dawnk@horiganlaw.com,https://www.horiganlawfirm.com,,,1989,info@horiganlaw.com,,https://www.facebook.com/share.php,https://twitter.com/home,
Personal Injury Law,NY,22,Kantrowitz Goldhamer & Graifman PC,"Personal Injury Law Attorneys, Transportation Law Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/new-city-ny/mip/kantrowitz-goldhamer-graifman-pc-569516247?lid=1002117648476,"16 Squadron Blvd Ste 106, New City, NY 10956",(845) 746-2557,pgoldhamer@kgglaw.com,https://www.kgglaw.com/?utm_source=thryv&utm_medium=paid_listing,,,1981,,,,,
Personal Injury Law,NY,23,Andrew Pappas,"Personal Injury Law Attorneys, Medical Law Attorneys, Real Estate Consultants",https://www.yellowpages.com/staten-island-ny/mip/andrew-pappas-5873945?lid=1002070476678,"182 Rose Ave, Staten Island, NY 10306",(646) 835-2366,apappaslaw@yahoo.com,http://www.apappaslaw.com,,,1995,apappaslaw@yahoo.com,(718) 987-5100;,,,
Personal Injury Law,NY,24,"Kaston & Aberle, LLP","Personal Injury Law Attorneys, General Practice Attorneys, Attorneys",https://www.yellowpages.com/mineola-ny/mip/kaston-aberle-llp-1357924?lid=1002044018852,"259 Mineola Blvd, Mineola, NY 11501",(516) 712-2073,dannicaro@kalawny.com,https://www.kastonaberlelawyers.com,,,1994,dannicaro@kalawny.com,5168733040;,https://www.facebook.com/kaston-aberle-llp-344981998908986,https://twitter.com/account/suspended,
Personal Injury Law,NY,25,Siben & Siben LLP Attorneys At Law,"Personal Injury Law Attorneys, Product Liability Law Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/bay-shore-ny/mip/siben-siben-llp-attorneys-at-law-495571204?lid=1000379465164,"90 E Main St, Bay Shore, NY 11706",(631) 209-7166,webmaster@sibensiben.com,http://www.sibensiben.com,,,,info@sibensiben.com,16316653400;,https://www.facebook.com/longislandinjurylawyers,https://twitter.com/sibenandsiben,
Personal Injury Law,NY,26,Damiani Gerard M,"Personal Injury Law Attorneys, Criminal Law Attorneys, Real Estate Attorneys",https://www.yellowpages.com/new-city-ny/mip/damiani-gerard-m-11171524?lid=1002108847673,"499 Route 304, New City, NY 10956",(845) 639-7711,info@gdamianilaw.com,http://www.gdamianilaw.com,,,1966,dawn@mdlmlaw.com,8456397711;,https://www.facebook.com/lawofficesofgerardmdamiani,,
Personal Injury Law,NY,27,"Law Office of  Edward A. Gabel, III","Personal Injury Law Attorneys, General Practice Attorneys, Attorneys",https://www.yellowpages.com/poughkeepsie-ny/mip/law-office-of-edward-a-gabel-iii-12177991?lid=1002105050953,"15 Davis Ave, Poughkeepsie, NY 12603",(845) 471-5300,edwardgabel@hotmail.com,,,,1981,,,,,
Personal Injury Law,NY,28,Victor M Re Law Offices,"Personal Injury Law Attorneys, Criminal Law Attorneys, DUI & DWI Attorneys",https://www.yellowpages.com/rockaway-park-ny/mip/victor-m-re-law-offices-13673026?lid=1002109799778,"257 Beach 116th St, Ste 201, Rockaway Park, NY 11694",(929) 356-9239,info@victormre.com,http://www.victormre.com,,,1990,victorreesq@aol.com,7184741111; 9173183836;,https://www.facebook.com/pages/re-victor-m/164694210223065,https://twitter.com/victormre1,
Personal Injury Law,NY,29,"Robert O. Corini, Esq.","Personal Injury Law Attorneys, Attorneys, Accident & Property Damage Attorneys",https://www.yellowpages.com/new-rochelle-ny/mip/robert-o-corini-esq-14887849?lid=1002004488562,"542 Main St, New Rochelle, NY 10801",(914) 235-0784,robert.corini@corinilaw.com,https://www.corinilaw.com/contact-us.html,,,1979,robert.corini@corinilaw.com,,https://www.facebook.com/corini-law-office-1209282272418748,,https://www.instagram.com/corinilaw
Personal Injury Law,NY,30,The Law Offices of Timothy J. O'Connor,"Personal Injury Law Attorneys, Attorneys, General Practice Attorneys",https://www.yellowpages.com/albany-ny/mip/the-law-offices-of-timothy-j-oconnor-22252996?lid=1002135276643,"29 Wards Ln, Albany, NY 12204",(518) 426-7700,tjo@stockbrokerlaw.com,http://www.stockbrokerlaw.com,,,1984,tjo@tjolaw.com,(518) 426-7700;,https://www.facebook.com/stockbrokerlaw,https://twitter.com/stockbrokerlaw,
Personal Injury Law,NJ,1,Law Office Of John G. Cito,"Personal Injury Law Attorneys, Social Security & Disability Law Attorneys, Administrative & Governmental Law Attorneys",https://www.yellowpages.com/edison-nj/mip/law-office-of-john-g-cito-1368751?lid=1002109180600,"1621 State Route 27, Edison, NJ 08817",(732) 743-8249,cito4@verizon.net,http://www.johncitoattorney.com,,,1986,cito4@verizon.net,7328198777; 732-819-8778;,https://www.facebook.com/law-office-of-john-g-cito-1813359475591814,,
Personal Injury Law,NJ,2,William A Sheehan,"Personal Injury Law Attorneys, Criminal Law Attorneys, Attorneys",https://www.yellowpages.com/woodbury-nj/mip/william-a-sheehan-2019421?lid=1002108126968,"25 Newton Ave, Woodbury, NJ 08096",(856) 853-8636,bill55@comcast.net,http://sheehanlawnj.com,,,1980,bill55@comcast.net,+18568538636;,https://www.facebook.com/pages/william-a-sheehan/108431669500674,,
Personal Injury Law,NJ,3,"Gilbreth, Peter N","Personal Injury Law Attorneys, Criminal Law Attorneys, DUI & DWI Attorneys",https://www.yellowpages.com/morristown-nj/mip/gilbreth-peter-n-23004949?lid=1002106939253,"60 Washington St, Ste 302, Morristown, NJ 07960",(973) 532-2894,peter.gilbreth@verizon.net,http://www.petergilbreth.com,,,1980,peter.gilbreth@verizon.net,973-539-9007;,,,
Personal Injury Law,NJ,4,Drazin and Warshaw P.C.,"Personal Injury Law Attorneys, Attorneys, Administrative & Governmental Law Attorneys",https://www.yellowpages.com/red-bank-nj/mip/drazin-and-warshaw-p-c-23322232?lid=1002116247096,"25 Reckless Pl, Red Bank, NJ 07701",(732) 924-5684,info@drazinandwarshaw.com,http://www.drazinandwarshaw.com,5,1,1945,,7327473730; 732-264-6900; 732-477-1700;,https://www.facebook.com/drazinandwarshawpc,https://twitter.com/drazinwarshaw,
Personal Injury Law,NJ,5,"Parisi & Gerlanc, P.A.","Personal Injury Law Attorneys, Attorneys, Social Security & Disability Law Attorneys",https://www.yellowpages.com/hackensack-nj/mip/parisi-gerlanc-p-a-26956560?lid=1002109803930,"190 Moore St Ste 460, Hackensack, NJ 07601",(551) 228-4018,jparisi@parisigerlanc.com,http://www.parisiandgerlanc.com,,,1936,,+1-551-587-8915;,,,
,,,,,,,,,,,,,,,,,
Personal Injury Law,NJ,7,Krevsky Silber & Bergen,"Personal Injury Law Attorneys, General Practice Attorneys, Business Law Attorneys",https://www.yellowpages.com/cranford-nj/mip/krevsky-silber-bergen-452934169?lid=1002163246331,"123 N Union Ave Ste. 202, Cranford, NJ 07016",(908) 793-6137,ehk@ksbblaw.com,http://www.krevskysilberbergenlaw.com,,,1941,ksbb@ksbblaw.com,,https://www.facebook.com/krevsky-silber-bergen-445697632137232,,
Personal Injury Law,NJ,8,Monmouth Bar Association,"Personal Injury Law Attorneys, Process Servers, Landlord & Tenant Attorneys",https://www.yellowpages.com/freehold-nj/mip/monmouth-bar-association-459622004?lid=1002164262805,"71 Monument St, Freehold, NJ 07728",(732) 702-2348,tracey@monmouthbarassociation.com,http://www.monmouthbarassociation.com,,,1908,tracey@monmouthbarassociation.com,,https://www.facebook.com/monmouthbarassociation,,https://www.instagram.com/monmouth_bar_association
Personal Injury Law,NJ,9,Leo B Dubler III,"Personal Injury Law Attorneys, Criminal Law Attorneys, Attorneys",https://www.yellowpages.com/mount-laurel-nj/mip/leo-b-dubler-iii-462882134?lid=1002106207120,"20000 Horizon Way, Mount Laurel, NJ 08054",(856) 291-6207,tsneed@dublerlaw.com,http://www.leodubler.com,,,2001,ldubler@dublerlaw.com,856-235-7075; 856-254-3085; 609-345-5433;,https://www.facebook.com/the-law-offices-of-leo-b-dubler-iii-llc-104498394227383,https://twitter.com/dublerleo,
Personal Injury Law,NJ,10,Cooper Levenson Attorneys at Law,"Personal Injury Law Attorneys, Attorneys, Divorce Attorneys",https://www.yellowpages.com/cherry-hill-nj/mip/cooper-levenson-attorneys-at-law-468288429?lid=1002004434019,"1415 E State Hwy 70, Cherry Hill, NJ 08034",(856) 795-9110,dvecere@cooperlevenson.com,http://www.cooperlevenson.com,5,125,1957,kcalemmo@cooperlevenson.com,18005293161;,https://www.facebook.com/cooperlevensonlaw,https://twitter.com/cooperlevenson,
Personal Injury Law,NJ,11,Jarve Granato Starr LLC,"Personal Injury Law Attorneys, Malpractice Law Attorneys, Attorneys",https://www.yellowpages.com/marlton-nj/mip/jarve-granato-starr-llc-471255864?lid=1002125492998,"401 Route 73 N Ste 204, Marlton, NJ 08053",(856) 900-0053,contact@nj-triallawyers.com,http://nj-triallawyers.com,,,2003,,+1-856-235-9500;,https://www.facebook.com/njtriallawyers,https://twitter.com/nj_triallawyers,
Personal Injury Law,NJ,12,Wayne A Keller Attorney,"Personal Injury Law Attorneys, Real Estate Attorneys, Family Law Attorneys",https://www.yellowpages.com/paterson-nj/mip/wayne-a-keller-attorney-474049285?lid=1002161259820,"87 Market St, Paterson, NJ 07505",(973) 968-5697,wayneakeller@optonline.net,http://njcaraccident.com,,,1971,wayneakeller@optonline.net,973-278-5291; 973-742-5305;,https://facebook.com/wayne-a-keller-attorney-969701376456944,,
Personal Injury Law,NJ,13,"Wegner, Wegner & Ward","Personal Injury Law Attorneys, Employee Benefits & Worker Compensation Attorneys, Social Security & Disability Law Attorneys",https://www.yellowpages.com/totowa-nj/mip/wegner-wegner-ward-474489924?lid=1002144334613,"79 Union Blvd, Totowa, NJ 07512",(973) 963-4369,pfward@rwegnerlaw.com,https://rwegnerlaw.com,,,1968,,,,,
Personal Injury Law,NJ,14,Radano & Lide,"Personal Injury Law Attorneys, Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/northfield-nj/mip/radano-lide-479675011?lid=1002125510811,"505 New Rd., Northfield, NJ 08225",(609) 926-6999,,http://www.radanoandlidenj.com,,,2015,,856-691-2500; 609-926-6999;,,,
Personal Injury Law,NJ,15,"Cooper Levenson, Attorneys At Law","Personal Injury Law Attorneys, Transportation Law Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/atlantic-city-nj/mip/cooper-levenson-attorneys-at-law-479678103?lid=1002085601419,"1125 Atlantic Ave Ste 320, Atlantic City, NJ 08401",(609) 957-5353,info@njaccidentlaw.com,http://www.njaccidentlaw.com,,,1957,info@njaccidentlaw.com,609-572-7788;,https://www.facebook.com/accidentlawnj,https://twitter.com/cooperlevenson,https://www.instagram.com/cooperlevensonlawfirm
Personal Injury Law,NJ,16,Nusbaum Stein Goldstein,"Personal Injury Law Attorneys, Divorce Attorneys, Real Estate Attorneys",https://www.yellowpages.com/succasunna-nj/mip/nusbaum-stein-goldstein-481078773?lid=1002153340496,"66 Sunset Strip Ste 205, Succasunna, NJ 07876",(973) 584-1400,sloewenthal@nusbaumstein.com,http://www.nj-injurylawyer.com,,,1983,,,,,
Personal Injury Law,NJ,17,Law Office of Fran J. Garb,"Personal Injury Law Attorneys, Attorneys, Business Litigation Attorneys",https://www.yellowpages.com/cedar-knolls-nj/mip/law-office-of-fran-j-garb-482585642?lid=1002004397775,"2 Ridgedale Ave, Ste 245, Cedar Knolls, NJ 07927",(973) 605-1177,fran@garblaw.com,https://garblaw.com,,,1983,,,,,
Personal Injury Law,NJ,18,"Brown, Novick & McKinley Attorneys at Law","Personal Injury Law Attorneys, Attorneys, Medical Law Attorneys",https://www.yellowpages.com/woodbury-nj/mip/brown-novick-mckinley-attorneys-at-law-495730530?lid=1002122493244,"38 N Broad St, Woodbury, NJ 08096",(856) 381-0333,mbrownlaw@verizon.net,http://www.sjinjurylaw.com,,,2000,mbrown@sjinjurylaw.com,+18669424909;,https://www.facebook.com/pages/brown-novick-mckinley/402131746489830,https://twitter.com/attorneymilton,
Personal Injury Law,NJ,19,Drazin and Warshaw P.C.,"Personal Injury Law Attorneys, Attorneys, Administrative & Governmental Law Attorneys",https://www.yellowpages.com/brick-nj/mip/drazin-and-warshaw-p-c-503447495?lid=1002117648148,"937 Cedar Bridge Ave, Brick, NJ 08723",(732) 852-7922,info@drazinandwarshaw.com,http://www.drazinandwarshaw.com,,,1945,,7327473730; 732-264-6900; 732-477-1700;,https://www.facebook.com/drazinandwarshawpc,https://twitter.com/drazinwarshaw,
Personal Injury Law,NJ,20,"Leonard Legal Group, LLC","Personal Injury Law Attorneys, Transportation Law Attorneys, Attorneys",https://www.yellowpages.com/morristown-nj/mip/leonard-legal-group-llc-504586318?lid=1002106204852,"165 Washington Street, Morristown, NJ 07960",(973) 671-1110,sleonard@leonardlawyers.com,http://leonardlawyers.com,,,1996,,(973) 984-1414; +19739841414;,https://www.facebook.com/leonardlegalgroup,https://twitter.com/leonardlegal,
Personal Injury Law,NJ,21,Polloway & Polloway,"Personal Injury Law Attorneys, Labor & Employment Law Attorneys, Attorneys",https://www.yellowpages.com/red-bank-nj/mip/polloway-polloway-526062010?lid=1002122493281,"130 Maple Ave, Red Bank, NJ 07701",(732) 945-7221,merric.polloway@comcast.net,http://www.pollowayandpolloway.com,,,1974,pollowaylawfirm@gmail.com,7328425300;,https://www.facebook.com/pollowayandpolloway,,
Personal Injury Law,NJ,22,Radano and Lide,"Personal Injury Law Attorneys, Product Liability Law Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/vineland-nj/mip/radano-and-lide-533086342?lid=1002117650902,"78 W Park Ave, Vineland, NJ 08360",(856) 691-2500,kitkat122@hotmail.com,http://radanoandlidenj.com,,,1985,,856-691-2500; 609-926-6999;,,,
Personal Injury Law,NJ,23,Poserina & Mchugh,"Personal Injury Law Attorneys, Elder Law Attorneys, Attorneys",https://www.yellowpages.com/cape-may-nj/mip/poserina-mchugh-535157266?lid=1002163954434,"1029 Route 109, Cape May, NJ 08204",(609) 545-2171,elizabeth.scamoff@hotmail.com,,,,,,,,,
Personal Injury Law,NJ,24,"Anthony M. Campisano, Attorney at Law","Personal Injury Law Attorneys, Justice Courts, Traffic Law Attorneys",https://www.yellowpages.com/north-brunswick-nj/mip/anthony-m-campisano-attorney-at-law-544234390?lid=1002163686466,"2300 State Route Highway 27, North Brunswick, NJ 08902",(732) 790-8760,anthony@amcampisanolaw.com,http://www.amcampisanolaw.com,,,1984,info@amcampisanolaw.com,,,,
Personal Injury Law,NJ,25,Austin Kenneth R Esq,"Personal Injury Law Attorneys, DUI & DWI Attorneys, Wills, Trusts & Estate Planning Attorneys",https://www.yellowpages.com/cherry-hill-nj/mip/austin-kenneth-r-esq-567461456?lid=1002126777503,"1763 Marlton Pike E Ste 350, Cherry Hill, NJ 08003",(856) 672-5301,,http://kenaustinlaw.com,,,1989,,,,,
Personal Injury Law,NJ,26,Kantrowitz Goldhamer & Graifman PC,"Personal Injury Law Attorneys, Transportation Law Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/new-city-ny/mip/kantrowitz-goldhamer-graifman-pc-569516247?lid=1002117648476,"135 Chestnut Ridge Road Suite 200, Chestnut Ridge, NY 10977",(845) 746-2557,pgoldhamer@kgglaw.com,https://www.kgglaw.com/?utm_source=thryv&utm_medium=paid_listing,,,1981,,,,,
Personal Injury Law,NJ,27,Messineo & Messineo,"Personal Injury Law Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/ridgewood-nj/mip/messineo-messineo-3065807?lid=205923451,"34 Cottage Pl, Ridgewood, NJ 07450",(888) 875-7413,messineo@verizon.net,http://www.messineolawfirm.com,,,1973,contact@messineolaw.com,,,,
,,,,,,,,,,,,,,,,,
Personal Injury Law,NJ,29,Susan Purvin,"Personal Injury Law Attorneys, Attorneys, Bankruptcy Law Attorneys",https://www.yellowpages.com/woodbury-nj/mip/susan-purvin-531401271?lid=1002104394226,"44 Cooper St Ste 105, Woodbury, NJ 08096",(856) 251-4200,info@purvinlawoffice.com,http://www.purvinlawoffice.com,,,1996,susan@purvinlawoffice.com,8562510909;,https://www.facebook.com/pages/law-office-of-susan-m-purvin/141144302592471,,
Personal Injury Law,NJ,30,Damiani Gerard M,"Personal Injury Law Attorneys, Criminal Law Attorneys, Real Estate Attorneys",https://www.yellowpages.com/new-city-ny/mip/damiani-gerard-m-11171524?lid=1002108847673,"499 Route 304, New City, NY 10956",(845) 639-7711,info@gdamianilaw.com,http://www.gdamianilaw.com,,,1966,dawn@mdlmlaw.com,8456397711;,https://www.facebook.com/lawofficesofgerardmdamiani,,
,,,,,,,,,,,,,,,,,
Personal Injury Law,austin texas,1,Bemis Roach & Reed,"Personal Injury Law Attorneys, Consumer Law Attorneys, Insurance Attorneys",https://www.yellowpages.com/austin-tx/mip/bemis-roach-reed-481075947?lid=1000223868413,"4100 Duval Rd Suite 200 Bldg 1, Austin, TX 78759",(512) 782-8658,contact@brrlaw.com,http://www.brrlaw.com?utm_source=YP.com20Network&utm_medium=Aggregate20Site&utm_campaign=YellowPages.com&utm_term=Long20Term20Disability&utm_content=Social20Security20Disability,5,21,1993,contact@brrlaw.com,866-433-4979; 512-454-4000;,https://www.facebook.com/bemis-roach-reed-106144399133,https://twitter.com/bemisroachreed,
Personal Injury Law,austin texas,2,Funk & Associates,"Personal Injury Law Attorneys, Attorneys",https://www.yellowpages.com/austin-tx/mip/funk-associates-3814270,"5500 N Interstate Hwy 35, Austin, TX 78751",(512) 472-3865,funk@funklaw.com,http://www.funklaw.com,5,5,2000,,,,,
Personal Injury Law,austin texas,3,"Gibbins, Steve","Personal Injury Law Attorneys, Attorneys, Criminal Law Attorneys",https://www.yellowpages.com/austin-tx/mip/gibbins-steve-6820168,"1411 West Ave, Austin, TX 78701",(512) 474-2441,sgibbins@1411west.com,http://www.gibbinslawoffice.com,5,3,1989,sgibbins@1411west.com,,,,
Personal Injury Law,austin texas,4,Briggle & Polan PLLC,"Personal Injury Law Attorneys, Attorneys, Accident & Property Damage Attorneys",https://www.yellowpages.com/austin-tx/mip/briggle-polan-pllc-465513212,"812 San Antonio St Ste 310, Austin, TX 78701",(512) 472-1926,brigglepolanlaw@gmail.com,,,,2011,,,,,
Personal Injury Law,austin texas,5,Byrd Davis Alden & Henrichson,"Personal Injury Law Attorneys, Attorneys, Construction Law Attorneys",https://www.yellowpages.com/austin-tx/mip/byrd-davis-alden-henrichson-473691975?lid=316030621,"8911 N. Capital of Texas Hwy  Bldg 3, Ste 3150, Austin, TX 78759",(512) 270-5792,receptionist@byrddavis.com,http://www.byrddavis.com,,,1959,,+1-512-593-7650;,https://www.facebook.com/byrddavislawfirm,https://twitter.com/byrddavisalden,
Personal Injury Law,austin texas,6,FVF Law,Personal Injury Law Attorneys,https://www.yellowpages.com/austin-tx/mip/fvf-law-506280372,"3101 Bee Caves Rd Ste 270, Austin, TX 78746",(512) 982-9328,aaron@fvlawfirm.com,http://www.fvflawfirm.com,,,2010,,,,,
Personal Injury Law,austin texas,7,Zinda Law Group,"Personal Injury Law Attorneys, Civil Litigation & Trial Law Attorneys, Attorneys",https://www.yellowpages.com/austin-tx/mip/zinda-law-group-478809113,"8834 N Capital Of Texas Hwy Ste 304, Austin, TX 78759",(512) 601-4349,marketing@zdfirm.com,https://www.zdfirm.com/austin/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,,,2008,,,,,
Personal Injury Law,austin texas,8,"Terry & Kelly, PLLC","Personal Injury Law Attorneys, Attorneys, Corporation & Partnership Law Attorneys",https://www.yellowpages.com/austin-tx/mip/terry-kelly-pllc-482829313,"1002 Rio Grande St, Austin, TX 78701",(512) 910-2000,contact@lawyersfortexans.com,http://www.lawyersfortexans.com,,,2012,contact@lawyersfortexans.com,512-910-2000;,https://www.facebook.com/terrykellypllc,https://twitter.com/terry_kellypllc,
