Search keyword,Search location,Serial,Name,Category,Profile URL,Address,Phone,Email,Website,Rating,Reviews,Year from Business,Email (Website),Phone (Website),Facebook (Web),Twitter (Web),Instagram (Web),email2,username,domain,status,is_safe_to_send,is_valid_syntax,is_disposable,is_role_account,mx_accepts_mail,mx_records,can_connect_smtp,has_inbox_full,is_catch_all,is_deliverable,is_disabled,is_spamtrap
Personal Injury Law,NY,18,Neimark Coffinas & Lapp LLP,"Personal Injury Law Attorneys, Nursing Home Litigation Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/new-city-ny/mip/neimark-coffinas-lapp-llp-537921935?lid=1002117641761,"37 Congers Rd, New City, NY 10956",(845) 608-8143,info@ncl.law,https://www.ncl.law,,,,,,,,,info@ncl.law,info,ncl.law,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,ncl-law.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,19,Lemire & Higgins,"Personal Injury Law Attorneys, Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/malta-ny/mip/lemire-higgins-541953234?lid=1002125494927,"2534 State Rte 9, Malta, NY 12020",(518) 348-9100,donna@lemirelawyers.com,http://www.lemirelawyers.com,,,2004,,,,,,donna@lemirelawyers.com,donna,lemirelawyers.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx2-us1.ppe-hosted.com; mx1-us1.ppe-hosted.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,20,Waldman Gary,"Personal Injury Law Attorneys, Attorneys, Real Estate Attorneys",https://www.yellowpages.com/monticello-ny/mip/waldman-gary-543697847?lid=1002101336950,"504 Broadway, Monticello, NY 12701",(855) 853-3408,garywaldmanlaw@yahoo.com,http://waldmanattorney.com,,,1978,,,,,,garywaldmanlaw@yahoo.com,garywaldmanlaw,yahoo.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mta6.am0.yahoodns.net; mta7.am0.yahoodns.net; mta5.am0.yahoodns.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,21,"Horigan, Horigan & Lombardo, PC","Personal Injury Law Attorneys, Transportation Law Attorneys, Attorneys",https://www.yellowpages.com/amsterdam-ny/mip/horigan-horigan-lombardo-pc-564775746?lid=1002108020903,"125 Guy Park Avenue, Amsterdam, NY 12010",(518) 770-1218,dawnk@horiganlaw.com,https://www.horiganlawfirm.com,,,1989,,,,,,dawnk@horiganlaw.com,dawnk,horiganlaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx2.biz.rr.com; mx1.biz.rr.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,22,Kantrowitz Goldhamer & Graifman PC,"Personal Injury Law Attorneys, Transportation Law Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/new-city-ny/mip/kantrowitz-goldhamer-graifman-pc-569516247?lid=1002117648476,"16 Squadron Blvd Ste 106, New City, NY 10956",(845) 746-2557,pgoldhamer@kgglaw.com,https://www.kgglaw.com/?utm_source=thryv&utm_medium=paid_listing,,,1981,,,,,,pgoldhamer@kgglaw.com,pgoldhamer,kgglaw.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,d289116b.ess.barracudanetworks.com; d289116a.ess.barracudanetworks.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NY,23,Andrew Pappas,"Personal Injury Law Attorneys, Medical Law Attorneys, Real Estate Consultants",https://www.yellowpages.com/staten-island-ny/mip/andrew-pappas-5873945?lid=1002070476678,"182 Rose Ave, Staten Island, NY 10306",(646) 835-2366,apappaslaw@yahoo.com,http://www.apappaslaw.com,,,1995,,,,,,apappaslaw@yahoo.com,apappaslaw,yahoo.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mta6.am0.yahoodns.net; mta7.am0.yahoodns.net; mta5.am0.yahoodns.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,24,"Kaston & Aberle, LLP","Personal Injury Law Attorneys, General Practice Attorneys, Attorneys",https://www.yellowpages.com/mineola-ny/mip/kaston-aberle-llp-1357924?lid=1002044018852,"259 Mineola Blvd, Mineola, NY 11501",(516) 712-2073,dannicaro@kalawny.com,https://www.kastonaberlelawyers.com,,,1994,,,,,,dannicaro@kalawny.com,dannicaro,kalawny.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx1-us1.ppe-hosted.com; mx2-us1.ppe-hosted.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,25,Siben & Siben LLP Attorneys At Law,"Personal Injury Law Attorneys, Product Liability Law Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/bay-shore-ny/mip/siben-siben-llp-attorneys-at-law-495571204?lid=1000379465164,"90 E Main St, Bay Shore, NY 11706",(631) 209-7166,webmaster@sibensiben.com,http://www.sibensiben.com,,,,,,,,,webmaster@sibensiben.com,webmaster,sibensiben.com,catch_all,FALSE,TRUE,FALSE,TRUE,TRUE,mx2c28.carrierzone.com; mx4c28.carrierzone.com; mx1c28.carrierzone.com; mx3c28.carrierzone.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NY,26,Damiani Gerard M,"Personal Injury Law Attorneys, Criminal Law Attorneys, Real Estate Attorneys",https://www.yellowpages.com/new-city-ny/mip/damiani-gerard-m-11171524?lid=1002108847673,"499 Route 304, New City, NY 10956",(845) 639-7711,info@gdamianilaw.com,http://www.gdamianilaw.com,,,1966,,,,,,info@gdamianilaw.com,info,gdamianilaw.com,unknown,FALSE,TRUE,FALSE,TRUE,TRUE,inbound.registeredsite.com,,,,,,
Personal Injury Law,NY,27,"Law Office of  Edward A. Gabel, III","Personal Injury Law Attorneys, General Practice Attorneys, Attorneys",https://www.yellowpages.com/poughkeepsie-ny/mip/law-office-of-edward-a-gabel-iii-12177991?lid=1002105050953,"15 Davis Ave, Poughkeepsie, NY 12603",(845) 471-5300,edwardgabel@hotmail.com,,,,1981,,,,,,edwardgabel@hotmail.com,edwardgabel,hotmail.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,hotmail-com.olc.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Personal Injury Law,NY,28,Victor M Re Law Offices,"Personal Injury Law Attorneys, Criminal Law Attorneys, DUI & DWI Attorneys",https://www.yellowpages.com/rockaway-park-ny/mip/victor-m-re-law-offices-13673026?lid=1002109799778,"257 Beach 116th St, Ste 201, Rockaway Park, NY 11694",(929) 356-9239,info@victormre.com,http://www.victormre.com,,,1990,,,,,,info@victormre.com,info,victormre.com,unknown,FALSE,TRUE,FALSE,TRUE,TRUE,mx.victormre.com.cust.a.hostedemail.com,,,,,,
Personal Injury Law,NY,29,"Robert O. Corini, Esq.","Personal Injury Law Attorneys, Attorneys, Accident & Property Damage Attorneys",https://www.yellowpages.com/new-rochelle-ny/mip/robert-o-corini-esq-14887849?lid=1002004488562,"542 Main St, New Rochelle, NY 10801",(914) 235-0784,robert.corini@corinilaw.com,https://www.corinilaw.com/contact-us.html,,,1979,,,,,,robert.corini@corinilaw.com,robert.corini,corinilaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,corinilaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NY,30,The Law Offices of Timothy J. O'Connor,"Personal Injury Law Attorneys, Attorneys, General Practice Attorneys",https://www.yellowpages.com/albany-ny/mip/the-law-offices-of-timothy-j-oconnor-22252996?lid=1002135276643,"29 Wards Ln, Albany, NY 12204",(518) 426-7700,tjo@stockbrokerlaw.com,http://www.stockbrokerlaw.com,,,1984,,,,,,tjo@stockbrokerlaw.com,tjo,stockbrokerlaw.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,tjolaw-com.mail.protection.outlook.com; brokerlaw-com.mail.protection.outlook.com; stockbrokerlaw-com.mail.protection.outlook.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NJ,1,Law Office Of John G. Cito,"Personal Injury Law Attorneys, Social Security & Disability Law Attorneys, Administrative & Governmental Law Attorneys",https://www.yellowpages.com/edison-nj/mip/law-office-of-john-g-cito-1368751?lid=1002109180600,"1621 State Route 27, Edison, NJ 08817",(732) 743-8249,cito4@verizon.net,http://www.johncitoattorney.com,,,1986,,,,,,cito4@verizon.net,cito4,verizon.net,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,mx-aol.mail.gm0.yahoodns.net,,,,,,
Personal Injury Law,NJ,2,William A Sheehan,"Personal Injury Law Attorneys, Criminal Law Attorneys, Attorneys",https://www.yellowpages.com/woodbury-nj/mip/william-a-sheehan-2019421?lid=1002108126968,"25 Newton Ave, Woodbury, NJ 08096",(856) 853-8636,bill55@comcast.net,http://sheehanlawnj.com,,,1980,,,,,,bill55@comcast.net,bill55,comcast.net,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx1c1.comcast.net; mx1.mxge.comcast.net; mx2c1.comcast.net; mx1h1.comcast.net; mx2h1.comcast.net; mx1a1.comcast.net; mx2.mxge.comcast.net; mx2a1.comcast.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,3,"Gilbreth, Peter N","Personal Injury Law Attorneys, Criminal Law Attorneys, DUI & DWI Attorneys",https://www.yellowpages.com/morristown-nj/mip/gilbreth-peter-n-23004949?lid=1002106939253,"60 Washington St, Ste 302, Morristown, NJ 07960",(973) 532-2894,peter.gilbreth@verizon.net,http://www.petergilbreth.com,,,1980,,,,,,peter.gilbreth@verizon.net,peter.gilbreth,verizon.net,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,mx-aol.mail.gm0.yahoodns.net,,,,,,
Personal Injury Law,NJ,4,Drazin and Warshaw P.C.,"Personal Injury Law Attorneys, Attorneys, Administrative & Governmental Law Attorneys",https://www.yellowpages.com/red-bank-nj/mip/drazin-and-warshaw-p-c-23322232?lid=1002116247096,"25 Reckless Pl, Red Bank, NJ 07701",(732) 924-5684,info@drazinandwarshaw.com,http://www.drazinandwarshaw.com,5,1,1945,,,,,,info@drazinandwarshaw.com,info,drazinandwarshaw.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,east.smtp.mx.exch092.serverdata.net; west.smtp.mx.exch092.serverdata.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,5,"Parisi & Gerlanc, P.A.","Personal Injury Law Attorneys, Attorneys, Social Security & Disability Law Attorneys",https://www.yellowpages.com/hackensack-nj/mip/parisi-gerlanc-p-a-26956560?lid=1002109803930,"190 Moore St Ste 460, Hackensack, NJ 07601",(551) 228-4018,jparisi@parisigerlanc.com,http://www.parisiandgerlanc.com,,,1936,,,,,,jparisi@parisigerlanc.com,jparisi,parisigerlanc.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,parisigerlanc-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Injury Law,NJ,7,Krevsky Silber & Bergen,"Personal Injury Law Attorneys, General Practice Attorneys, Business Law Attorneys",https://www.yellowpages.com/cranford-nj/mip/krevsky-silber-bergen-452934169?lid=1002163246331,"123 N Union Ave Ste. 202, Cranford, NJ 07016",(908) 793-6137,ehk@ksbblaw.com,http://www.krevskysilberbergenlaw.com,,,1941,,,,,,ehk@ksbblaw.com,ehk,ksbblaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,ksbblaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,8,Monmouth Bar Association,"Personal Injury Law Attorneys, Process Servers, Landlord & Tenant Attorneys",https://www.yellowpages.com/freehold-nj/mip/monmouth-bar-association-459622004?lid=1002164262805,"71 Monument St, Freehold, NJ 07728",(732) 702-2348,tracey@monmouthbarassociation.com,http://www.monmouthbarassociation.com,,,1908,,,,,,tracey@monmouthbarassociation.com,tracey,monmouthbarassociation.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,mx1-us1.ppe-hosted.com; mx2-us1.ppe-hosted.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NJ,9,Leo B Dubler III,"Personal Injury Law Attorneys, Criminal Law Attorneys, Attorneys",https://www.yellowpages.com/mount-laurel-nj/mip/leo-b-dubler-iii-462882134?lid=1002106207120,"20000 Horizon Way, Mount Laurel, NJ 08054",(856) 291-6207,tsneed@dublerlaw.com,http://www.leodubler.com,,,2001,,,,,,tsneed@dublerlaw.com,tsneed,dublerlaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,dublerlaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,10,Cooper Levenson Attorneys at Law,"Personal Injury Law Attorneys, Attorneys, Divorce Attorneys",https://www.yellowpages.com/cherry-hill-nj/mip/cooper-levenson-attorneys-at-law-468288429?lid=1002004434019,"1415 E State Hwy 70, Cherry Hill, NJ 08034",(856) 795-9110,dvecere@cooperlevenson.com,http://www.cooperlevenson.com,5,125,1957,,,,,,dvecere@cooperlevenson.com,dvecere,cooperlevenson.com,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,us-smtp-inbound-1.mimecast.com; us-smtp-inbound-2.mimecast.com,,,,,,
Personal Injury Law,NJ,11,Jarve Granato Starr LLC,"Personal Injury Law Attorneys, Malpractice Law Attorneys, Attorneys",https://www.yellowpages.com/marlton-nj/mip/jarve-granato-starr-llc-471255864?lid=1002125492998,"401 Route 73 N Ste 204, Marlton, NJ 08053",(856) 900-0053,contact@nj-triallawyers.com,http://nj-triallawyers.com,,,2003,,,,,,contact@nj-triallawyers.com,contact,nj-triallawyers.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,njtriallawyers-com0e.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,12,Wayne A Keller Attorney,"Personal Injury Law Attorneys, Real Estate Attorneys, Family Law Attorneys",https://www.yellowpages.com/paterson-nj/mip/wayne-a-keller-attorney-474049285?lid=1002161259820,"87 Market St, Paterson, NJ 07505",(973) 968-5697,wayneakeller@optonline.net,http://njcaraccident.com,,,1971,,,,,,wayneakeller@optonline.net,wayneakeller,optonline.net,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx.altice.prod.msg.synchronoss.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,13,"Wegner, Wegner & Ward","Personal Injury Law Attorneys, Employee Benefits & Worker Compensation Attorneys, Social Security & Disability Law Attorneys",https://www.yellowpages.com/totowa-nj/mip/wegner-wegner-ward-474489924?lid=1002144334613,"79 Union Blvd, Totowa, NJ 07512",(973) 963-4369,pfward@rwegnerlaw.com,https://rwegnerlaw.com,,,1968,,,,,,pfward@rwegnerlaw.com,pfward,rwegnerlaw.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,rwegnerlaw-com.mail.protection.outlook.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NJ,14,Radano & Lide,"Personal Injury Law Attorneys, Attorneys, Transportation Law Attorneys",https://www.yellowpages.com/northfield-nj/mip/radano-lide-479675011?lid=1002125510811,"505 New Rd., Northfield, NJ 08225",(609) 926-6999,,http://www.radanoandlidenj.com,,,2015,,,,,,,,,,,,,,,,,,,,,
Personal Injury Law,NJ,15,"Cooper Levenson, Attorneys At Law","Personal Injury Law Attorneys, Transportation Law Attorneys, Automobile Accident Attorneys",https://www.yellowpages.com/atlantic-city-nj/mip/cooper-levenson-attorneys-at-law-479678103?lid=1002085601419,"1125 Atlantic Ave Ste 320, Atlantic City, NJ 08401",(609) 957-5353,info@njaccidentlaw.com,http://www.njaccidentlaw.com,,,1957,,,,,,info@njaccidentlaw.com,info,njaccidentlaw.com,catch_all,FALSE,TRUE,FALSE,TRUE,TRUE,njaccidentlaw-com.mail.protection.outlook.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NJ,16,Nusbaum Stein Goldstein,"Personal Injury Law Attorneys, Divorce Attorneys, Real Estate Attorneys",https://www.yellowpages.com/succasunna-nj/mip/nusbaum-stein-goldstein-481078773?lid=1002153340496,"66 Sunset Strip Ste 205, Succasunna, NJ 07876",(973) 584-1400,sloewenthal@nusbaumstein.com,http://www.nj-injurylawyer.com,,,1983,,,,,,sloewenthal@nusbaumstein.com,sloewenthal,nusbaumstein.com,catch_all,FALSE,TRUE,FALSE,FALSE,TRUE,d305896a.ess.barracudanetworks.com; d305896b.ess.barracudanetworks.com,TRUE,FALSE,TRUE,TRUE,FALSE,
Personal Injury Law,NJ,17,Law Office of Fran J. Garb,"Personal Injury Law Attorneys, Attorneys, Business Litigation Attorneys",https://www.yellowpages.com/cedar-knolls-nj/mip/law-office-of-fran-j-garb-482585642?lid=1002004397775,"2 Ridgedale Ave, Ste 245, Cedar Knolls, NJ 07927",(973) 605-1177,fran@garblaw.com,https://garblaw.com,,,1983,,,,,,fran@garblaw.com,fran,garblaw.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,garblaw-com.mail.protection.outlook.com,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,18,"Brown, Novick & McKinley Attorneys at Law","Personal Injury Law Attorneys, Attorneys, Medical Law Attorneys",https://www.yellowpages.com/woodbury-nj/mip/brown-novick-mckinley-attorneys-at-law-495730530?lid=1002122493244,"38 N Broad St, Woodbury, NJ 08096",(856) 381-0333,mbrownlaw@verizon.net,http://www.sjinjurylaw.com,,,2000,,,,,,mbrownlaw@verizon.net,mbrownlaw,verizon.net,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,mx-aol.mail.gm0.yahoodns.net,,,,,,
Personal Injury Law,NJ,19,Drazin and Warshaw P.C.,"Personal Injury Law Attorneys, Attorneys, Administrative & Governmental Law Attorneys",https://www.yellowpages.com/brick-nj/mip/drazin-and-warshaw-p-c-503447495?lid=1002117648148,"937 Cedar Bridge Ave, Brick, NJ 08723",(732) 852-7922,info@drazinandwarshaw.com,http://www.drazinandwarshaw.com,,,1945,,,,,,info@drazinandwarshaw.com,info,drazinandwarshaw.com,role_account,TRUE,TRUE,FALSE,TRUE,TRUE,east.smtp.mx.exch092.serverdata.net; west.smtp.mx.exch092.serverdata.net,TRUE,FALSE,FALSE,TRUE,FALSE,
Personal Injury Law,NJ,20,"Leonard Legal Group, LLC","Personal Injury Law Attorneys, Transportation Law Attorneys, Attorneys",https://www.yellowpages.com/morristown-nj/mip/leonard-legal-group-llc-504586318?lid=1002106204852,"165 Washington Street, Morristown, NJ 07960",(973) 671-1110,sleonard@leonardlawyers.com,http://leonardlawyers.com,,,1996,,,,,,sleonard@leonardlawyers.com,sleonard,leonardlawyers.com,safe,TRUE,TRUE,FALSE,FALSE,TRUE,mx1-us1.ppe-hosted.com; mx2-us1.ppe-hosted.com,TRUE,FALSE,FALSE,TRUE,FALSE,
